Date,Open,High,Low,Close
03/26/2018,"8,622","8,646","7,863","7,885"
03/25/2018,"8,679","8,701","8,381","8,620"
03/24/2018,"8,655","9,000","8,633","8,679"
03/23/2018,"8,613","8,766","8,296","8,655"
03/22/2018,"8,920","9,085","8,495","8,626"
03/21/2018,"8,994","9,160","8,613","8,613"
03/20/2018,"8,381","9,035","8,324","8,920"
03/19/2018,"8,271","8,994","8,068","8,994"
03/18/2018,"7,950","8,381","7,336","8,381"
03/17/2018,"8,502","8,522","7,756","7,951"
03/16/2018,"8,303","8,600","7,924","8,504"
03/15/2018,"8,019","8,413","7,677","8,508"
03/14/2018,"9,101","9,313","7,955","8,019"
03/13/2018,"9,104","9,475","8,861","8,308"
03/12/2018,"9,531","9,885","8,778","9,104"
03/11/2018,"8,838","9,715","8,475","9,539"
03/10/2018,"9,022","9,505","8,787","8,838"
03/09/2018,"9,341","9,409","8,371","9,053"
03/08/2018,"9,943","10,109","9,076","9,341"
03/07/2018,"10,788","10,888","9,468","9,947"
03/06/2018,"11,560","11,603","10,585","10,793"
03/05/2018,"11,400","11,660","11,335","11,561"
03/04/2018,"11,286","11,475","11,068","11,397"
03/03/2018,"11,016","11,498","10,952","11,286"
03/02/2018,"10,931","11,166","10,784","11,034"
03/01/2018,"10,532","11,074","10,222","10,924"
02/28/2018,"10,745","11,044","10,384","10,558"
02/27/2018,"10,366","10,852","10,147","10,745"
02/26/2018,"9,588","10,443","9,386","10,366"
02/25/2018,"9,499","9,858","9,305","9,588"
02/24/2018,"9,916","10,510","9,381","9,499"
02/23/2018,"9,912","10,398","9,593","9,966"
02/22/2018,"10,291","10,914","9,731","9,899"
02/21/2018,"11,712","11,768","10,244","10,291"
02/20/2018,"11,079","11,746","11,056","11,712"
02/19/2018,"10,772","11,255","10,314","11,079"
02/18/2018,"10,845","11,279","10,156","10,763"
02/17/2018,"10,084","10,879","10,053","10,845"
02/16/2018,"9,883","10,293","9,719","10,058"
02/15/2018,"9,289","10,218","9,251","9,883"
02/14/2018,"8,553","9,368","8,483","9,283"
02/13/2018,"8,830","8,977","8,370","8,564"
02/12/2018,"8,313","8,903","8,030","8,830"
02/11/2018,"8,269","8,587","7,845","8,313"
02/10/2018,"8,548","9,071","8,165","8,269"
02/09/2018,"8,174","8,719","7,755","8,513"
02/08/2018,"8,096","8,621","7,548","8,208"
02/07/2018,"7,755","8,583","7,208","8,096"
02/06/2018,"7,152","7,957","5,947","7,755"
02/05/2018,"8,085","8,416","6,584","7,152"
02/04/2018,"9,159","9,363","7,860","8,095"
02/03/2018,"8,588","9,471","8,176","9,157"
02/02/2018,"9,146","9,164","7,695","8,524"
02/01/2018,"9,999","10,203","8,564","9,146"
01/31/2018,"10,125","10,334","9,628","9,999"
01/30/2018,"11,224","11,224","9,810","10,138"
01/29/2018,"11,762","11,765","11,008","11,223"
01/28/2018,"11,554","11,942","11,317","11,757"
01/27/2018,"10,899","11,574","10,773","11,554"
01/26/2018,"11,241","11,609","10,321","10,899"
01/25/2018,"11,213","11,711","10,889","11,246"
01/24/2018,"10,986","11,474","10,497","11,208"
01/23/2018,"10,264","11,358","9,972","10,984"
01/22/2018,"11,348","11,869","10,051","10,264"
01/21/2018,"12,904","12,947","11,096","11,348"
01/20/2018,"11,343","13,007","11,245","12,904"
01/19/2018,"11,551","11,955","10,989","11,296"
01/18/2018,"11,378","12,045","10,664","11,541"
01/17/2018,"10,617","11,751","9,200","11,378"
01/16/2018,"13,919","13,919","10,352","10,617"
01/15/2018,"13,378","14,308","13,378","13,919"
01/14/2018,"14,173","14,353","13,052","13,394"
01/13/2018,"13,744","14,537","13,599","14,167"
01/12/2018,"13,445","14,095","12,879","13,695"
01/11/2018,"14,482","14,943","12,846","13,445"
01/10/2018,"14,544","14,694","13,456","14,482"
01/09/2018,"14,915","15,360","14,170","14,548"
01/08/2018,"16,183","16,466","13,958","14,901"
01/07/2018,"16,849","17,212","15,770","16,183"
01/06/2018,"16,765","17,118","16,255","16,849"
01/05/2018,"14,921","16,909","14,817","16,828"
01/04/2018,"15,057","15,395","14,225","14,921"
01/03/2018,"14,770","15,394","14,589","15,057"
01/02/2018,"13,535","15,217","12,956","14,770"
01/01/2018,"13,996","14,035","12,860","13,535"
12/31/2017,"12,995","14,213","12,497","14,003"
12/30/2017,"14,292","14,660","12,183","12,996"
12/29/2017,"13,931","15,076","13,900","14,312"
12/28/2017,"15,136","15,470","13,499","13,931"
12/27/2017,"15,892","16,476","14,533","15,136"
12/26/2017,"13,802","16,079","13,680","15,886"
12/25/2017,"13,174","14,573","13,075","13,798"
