Date,Open,High,Low,Close,Volume
03/26/2020,"4.24","4.71","4.24","4.41","6,210,979"
03/25/2020,"4.15","4.49","4.04","4.17","3,592,059"
03/24/2020,"3.95","4.21","3.89","4.16","6,805,659"
03/23/2020,"3.58","3.86","3.50","3.81","6,009,784"
03/20/2020,"4.08","4.08","3.65","3.76","7,722,194"
03/19/2020,"3.71","4.20","3.55","4.19","5,039,539"
03/18/2020,"4.10","4.25","3.50","3.77","3,651,709"
03/17/2020,"4.40","4.65","4.11","4.23","3,562,210"
03/16/2020,"3.93","4.57","3.90","4.37","4,866,696"
03/13/2020,"4.13","4.65","3.85","4.59","5,787,211"
03/12/2020,"3.70","4.04","3.48","3.98","5,123,363"
03/11/2020,"4.14","4.25","4.00","4.14","4,414,196"
03/10/2020,"3.94","4.26","3.80","4.23","4,863,169"
03/09/2020,"3.59","3.97","3.50","3.70","2,732,022"
03/06/2020,"3.84","4.07","3.76","3.92","2,096,803"
03/05/2020,"3.70","3.99","3.59","3.96","3,599,627"
03/04/2020,"3.71","3.83","3.46","3.77","4,257,629"
03/03/2020,"3.88","3.89","3.50","3.63","4,282,456"
03/02/2020,"3.60","3.85","3.39","3.83","3,208,428"
02/28/2020,"3.34","3.72","3.34","3.60","4,692,197"
02/27/2020,"3.23","3.63","3.18","3.47","3,879,480"
02/26/2020,"3.58","3.62","3.36","3.39","4,725,372"
02/25/2020,"3.77","3.79","3.55","3.56","4,447,956"
02/24/2020,"3.90","3.93","3.70","3.70","3,566,289"
02/21/2020,"4.12","4.18","3.99","4.04","1,695,693"
02/20/2020,"4.16","4.30","4.11","4.14","1,562,341"
02/19/2020,"4.06","4.27","3.92","4.15","2,593,092"
02/18/2020,"4.01","4.08","3.96","4.06","1,467,612"
02/14/2020,"4.11","4.19","4.02","4.02","1,582,660"
02/13/2020,"4.12","4.26","4.07","4.11","2,081,693"
02/12/2020,"4.13","4.51","4.07","4.19","4,820,604"
02/11/2020,"3.98","4.24","3.95","4.02","3,415,023"
02/10/2020,"3.85","4.10","3.74","3.94","2,777,042"
02/07/2020,"4.11","4.13","3.77","3.81","2,742,281"
02/06/2020,"4.20","4.30","4.14","4.14","1,510,303"
02/05/2020,"4.15","4.41","4.14","4.18","2,641,722"
02/04/2020,"4.03","4.25","3.97","4.07","3,563,061"
02/03/2020,"3.88","3.98","3.85","3.95","2,026,199"
01/31/2020,"3.91","3.94","3.83","3.84","2,891,764"
01/30/2020,"4.10","4.12","3.88","3.93","3,006,733"
01/29/2020,"4.22","4.32","4.13","4.13","1,552,557"
01/28/2020,"4.30","4.30","4.18","4.21","2,144,936"
01/27/2020,"4.20","4.35","4.16","4.28","2,122,804"
01/24/2020,"4.64","4.64","4.25","4.32","4,163,697"
01/23/2020,"4.55","4.64","4.46","4.62","1,880,214"
01/22/2020,"4.55","4.64","4.46","4.56","2,627,486"
01/21/2020,"4.75","4.75","4.55","4.59","3,532,137"
01/17/2020,"4.58","4.75","4.51","4.75","4,019,524"
