Date,Open,High,Low,Close
03/24/2017,"1,017","1,053","1,011","952"
03/23/2017,"1,108","1,119","991","1,017"
03/22/2017,"1,043","1,118","1,035","1,108"
03/21/2017,"1,042","1,052","1,011","1,043"
03/20/2017,"982","1,059","946","1,042"
03/17/2017,"1,253","1,261","1,132","1,110"
03/16/2017,"1,248","1,258","1,242","1,253"
03/15/2017,"1,243","1,258","1,227","1,248"
03/14/2017,"1,230","1,247","1,216","1,243"
03/13/2017,"1,171","1,238","1,170","1,229"
03/10/2017,"1,201","1,315","1,023","1,103"
03/09/2017,"1,165","1,209","1,135","1,201"
03/08/2017,"1,244","1,244","1,156","1,165"
03/07/2017,"1,277","1,282","1,188","1,244"
03/06/2017,"1,275","1,285","1,269","1,277"
03/03/2017,"1,261","1,293","1,252","1,281"
03/02/2017,"1,224","1,284","1,216","1,261"
03/01/2017,"1,196","1,229","1,187","1,224"
02/28/2017,"1,193","1,210","1,177","1,196"
02/27/2017,"1,177","1,197","1,173","1,193"
02/24/2017,"1,161","1,207","1,101","1,175"
02/23/2017,"1,125","1,164","1,119","1,161"
02/22/2017,"1,115","1,133","1,102","1,125"
02/21/2017,"1,059","1,116","1,059","1,115"
02/20/2017,"1,053","1,063","1,046","1,059"
02/17/2017,"1,036","1,058","1,028","1,056"
02/16/2017,"1,010","1,040","1,009","1,036"
02/15/2017,"1,008","1,011","1,001","1,010"
02/14/2017,"999","1,016","987","1,008"
02/13/2017,"1,000","1,007","976","998"
02/10/2017,"972","1,001","954","995"
02/09/2017,"1,059","1,078","942","972"
02/08/2017,"1,052","1,070","1,018","1,060"
02/07/2017,"1,026","1,055","1,024","1,052"
02/06/2017,"1,014","1,030","1,012","1,026"
02/03/2017,"1,010","1,024","996","1,013"
02/02/2017,"977","1,010","977","1,010"
02/01/2017,"959","978","959","977"
01/31/2017,"921","963","920","959"
01/30/2017,"916","922","913","921"
01/27/2017,"914","922","909","920"
01/26/2017,"894","919","893","914"
01/25/2017,"898","903","885","895"
01/24/2017,"921","924","891","898"
01/23/2017,"920","927","913","921"
01/20/2017,"904","905","882","895"
01/19/2017,"871","905","871","904"
01/18/2017,"897","915","849","871"
01/17/2017,"829","906","827","897"
01/16/2017,"817","835","816","830"
01/13/2017,"823","830","774","828"
01/12/2017,"779","825","747","823"
01/11/2017,"908","920","752","779"
01/10/2017,"898","914","895","908"
01/09/2017,"911","915","878","898"
01/06/2017,"973","1,029","867","892"
01/05/2017,"1,092","1,153","887","970"
